pl_hostname,pl_pnum,st_optmag,gaia_gmag,st_teff,st_mass,st_rad
KOI-351,8,13.804,13.74,6080,1.2,1.2
TRAPPIST-1,7,18.8,15.645,2559,0.08,0.12
HD 10180,6,7.321,7.173,5911,1.06,1.11
HD 219134,6,5.57,5.208,4699,0.81,0.78
HD 34445,6,7.328,7.149,5879,1.14,1.38
Kepler-11,6,14.2,13.706,5663,0.96,1.06
Kepler-20,6,12.51,12.453,5495,0.95,0.96
Kepler-80,6,14.804,14.756,4540,0.73,0.68
55 Cnc,5,5.96,5.714,5196,0.91,0.94
GJ 667 C,5,10.22,9.38,3350,0.33,
HD 158259,5,6.46,6.303,,1.08,1.21
HD 40307,5,7.17,6.844,4956,0.77,
HIP 41378,5,8.93,8.81,6226,1.17,1.34
K2-138,5,12.21,12.025,5378,0.93,0.86
Kepler-102,5,11.492,11.478,4909,0.81,0.76
Kepler-122,5,14.247,14.222,6050,,1.22
Kepler-150,5,14.985,14.974,5560,,0.94
Kepler-154,5,14.534,14.512,5690,,1
Kepler-169,5,14.194,14.162,4997,,0.76
Kepler-186,5,14.625,14.599,3755,0.54,0.52
Kepler-238,5,15.084,15.024,5751,,1.43
Kepler-292,5,15.956,15.942,5299,,0.83
Kepler-296,5,15.921,15.901,3740,0.5,0.48
Kepler-32,5,16.452,15.812,3900,0.58,0.53
Kepler-33,5,13.988,13.951,5904,1.29,1.82
Kepler-444,5,8.88,8.643,5046,0.76,0.75
Kepler-55,5,15.791,15.781,4503,,0.62
Kepler-62,5,13.725,13.72,4925,0.69,0.64
Kepler-82,5,15.158,15.138,,0.91,0.9
Kepler-84,5,14.764,14.79,6031,,1.17
DMPP-1,4,7.981,7.85,6196,1.21,1.26
GJ 3293,4,11.962,10.979,3466,0.42,0.4
GJ 676 A,4,9.58,8.865,3734,0.73,0.69
GJ 876,4,10.191,8.875,,0.32,0.3
HD 141399,4,7.2,7.009,5600,1.07,
HD 160691,4,5.15,4.905,,1.08,
HD 20781,4,8.48,8.237,5256,0.7,
HD 20794,4,4.27,3.981,5401,0.7,
HD 215152,4,8.11,7.802,4935,0.77,0.73
HR 8799,4,5.953,5.898,7400,,
K2-133,4,14.288,13.325,3655,0.46,0.46
K2-187,4,13.081,12.867,5484,0.98,0.92
K2-266,4,11.808,11.353,4285,0.69,0.7
K2-285,4,12.03,11.804,4975,0.83,0.79
K2-32,4,12.31,12.004,,0.86,0.84
K2-72,4,15.309,14.279,3360.47,0.27,0.33
KOI-94,4,12.205,12.188,6182,1.28,1.52
Kepler-106,4,12.882,12.839,5858,1,1.04
Kepler-107,4,12.7,12.463,5854,1.24,1.45
Kepler-132,4,11.818,,6003,,1.18
Kepler-1388,4,16.279,16.294,4098,0.63,0.61
Kepler-1542,4,12.639,12.588,5564,0.94,0.99
Kepler-167,4,14.023,14,4890,0.77,0.73
Kepler-172,4,14.532,14.537,5526,,1.08
Kepler-176,4,14.55,14.545,5232,,0.89
Kepler-197,4,11.811,11.78,6004,,1.12
Kepler-208,4,13.749,13.538,6092,,1.31
Kepler-215,4,13.58,13.555,5739,,1.03
Kepler-220,4,13.177,12.857,4632,,0.67
Kepler-221,4,13.749,13.749,5243,,0.82
Kepler-223,4,15.344,15.395,,1.12,1.72
Kepler-224,4,15.644,15.636,5018,,0.68
Kepler-235,4,15.954,15.969,4255,,0.55
Kepler-24,4,14.925,14.923,5897,,1.29
Kepler-245,4,15.599,15.597,5100,,0.8
Kepler-251,4,15.223,15.216,5526,,0.89
Kepler-256,4,15.065,15.015,5551,,1.3
Kepler-26,4,15.473,15.409,3914,0.54,0.51
Kepler-265,4,15.381,15.352,5835,,1.1
Kepler-282,4,15.204,15.178,5602,,0.9
Kepler-286,4,15.587,15.545,5580,,0.86
Kepler-299,4,15.017,15.01,5617,,1.03
Kepler-304,4,14.84,14.831,4731,,0.69
Kepler-306,4,15.565,15.552,4954,,0.72
Kepler-338,4,12.119,12.083,5923,,1.74
Kepler-341,4,14.601,14.567,6012,,1.02
Kepler-342,4,13.147,13.099,6175,,1.47
Kepler-37,4,9.705,9.55,5417,0.87,0.79
Kepler-402,4,13.268,13.192,6090,,1.26
Kepler-411,4,12.231,12.233,,0.87,0.82
Kepler-48,4,13.04,13.077,5194,0.88,0.89
Kepler-49,4,15.264,15.229,4252,,0.56
Kepler-65,4,11.018,10.966,6211,1.25,1.41
Kepler-758,4,14.348,14.327,6228,1.16,1.42
Kepler-79,4,13.914,13.882,6174,1.17,1.3
Kepler-85,4,14.779,14.766,5436,,0.89
V1298 Tau,4,10.116,10.07,,1.1,1.34
WASP-47,4,11.9,11.789,5552,1.04,1.14
tau Cet,4,3.5,3.134,,0.78,
47 UMa,3,5.05,4.831,5892,1.03,1.23
61 Vir,3,4.74,4.477,5577,0.94,0.96
K2-16,3,14.67,14.323,,0.67,
EPIC 249893012,3,11.428,11.402,5430,1.05,1.71
GJ 1061,3,13.06,10.989,2953,0.12,0.16
GJ 163,3,11.81,10.677,3500,0.4,
GJ 180,3,10.91,9.934,,0.43,
GJ 3138,3,10.98,10.192,3717,0.68,0.5
GJ 357,3,10.92,9.88,3505,0.34,0.34
GJ 433,3,9.806,8.891,,0.48,
GJ 581,3,10.56,9.411,,0.31,0.29
GJ 9827,3,10.25,9.838,4340,0.61,0.6
HD 125612,3,8.31,8.156,5841,1.11,1.05
HD 136352,3,5.65,5.462,5664,0.81,
HD 181433,3,8.4,8.092,4918,0.63,0.79
HD 27894,3,9.349,9.066,,0.8,
HD 31527,3,7.49,7.332,5898,0.96,
HD 3167,3,8.94,8.762,5528,0.94,0.87
HD 37124,3,7.7,7.472,,0.85,
HD 69830,3,6,5.739,5385,0.86,
HD 7924,3,7.185,6.925,5131,0.65,0.78
HIP 14810,3,8.52,8.333,5544,1.01,1.07
HIP 57274,3,8.98,8.571,4510,0.29,0.78
HR 858,3,6.4,6.248,6201,1.15,1.31
K2-136,3,10.9,10.855,4499,0.74,0.66
K2-148,3,13.507,13.06,4079,0.65,0.63
K2-155,3,12.806,12.253,4258,0.65,0.58
K2-16,3,14.67,14.323,,0.67,
K2-165,3,11.331,11.327,5185,0.83,0.8
K2-183,3,12.846,12.67,5519,0.93,0.97
K2-19,3,13,12.815,5430,0.93,0.86
K2-198,3,10.971,10.996,5212.9,0.8,0.76
K2-219,3,12.09,11.911,5753,1.02,1.19
K2-233,3,10.726,10.419,4950,0.8,0.74
K2-239,3,14.549,13.437,3420,0.4,0.36
K2-3,3,12.17,11.478,3896,0.6,0.56
K2-37,3,12.52,12.257,5413,0.9,0.85
K2-58,3,12.378,12.132,5413,0.89,0.86
K2-80,3,12.626,12.377,5441,0.9,0.87
KIC 10001893,3,15.846,15.711,27500,,
Kepler-100,3,11.197,11.129,5825,1.08,1.49
Kepler-104,3,12.596,12.57,5711,,1.35
Kepler-114,3,13.738,13.712,4605,,0.67
Kepler-124,3,14.139,14.124,4984,,0.64
Kepler-1254,3,15.311,15.302,4985,0.78,0.75
Kepler-126,3,10.5,10.454,6239,,1.36
Kepler-127,3,11.485,11.438,6106,,1.36
Kepler-130,3,11.529,11.825,5884,,1.13
Kepler-138,3,12.925,12.472,3841,0.52,0.44
Kepler-142,3,13.203,13.197,5790,,1.27
Kepler-148,3,15.342,15.336,5272,,0.85
Kepler-149,3,14.001,14.019,5381,,0.95
Kepler-157,3,14.002,14.037,5774,,1.04
Kepler-164,3,14.282,14.233,5888,,1.15
Kepler-166,3,14.701,14.685,5413,,0.74
Kepler-171,3,14.883,14.905,5642,,0.84
Kepler-174,3,14.287,14.286,4880,,0.62
Kepler-178,3,14.598,14.578,5676,,1.07
Kepler-18,3,13.549,13.539,5345,0.97,1.11
Kepler-184,3,14.338,14.311,5788,,0.87
Kepler-19,3,11.898,11.876,5544,0.94,0.86
Kepler-191,3,14.808,14.776,5282,,0.79
Kepler-192,3,14.129,14.104,5479,,1.01
Kepler-194,3,14.915,14.912,6089,,1.02
Kepler-198,3,13.597,13.566,5574,,0.94
Kepler-203,3,13.989,13.942,5821,,1.11
Kepler-206,3,13.484,13.461,5764,,1.19
Kepler-207,3,13.182,13.167,5920,,1.59
Kepler-217,3,13.294,13.121,6171,,1.8
Kepler-218,3,13.967,13.907,5502,,1.06
Kepler-219,3,13.764,13.718,5786,,1.49
Kepler-222,3,15.063,15.06,5433,,0.87
Kepler-226,3,15.416,15.403,5571,,0.8
Kepler-228,3,15.714,15.704,6043,,1.01
Kepler-229,3,15.841,15.826,5120,,0.73
Kepler-23,3,13.438,13.401,5828,,1.55
Kepler-244,3,15.604,15.545,5554,,0.8
Kepler-247,3,15.067,15.047,5100,,0.77
Kepler-249,3,15.234,15.23,3568,,0.48
Kepler-25,3,10.734,10.632,6270,1.19,1.31
Kepler-250,3,15.46,15.414,5160,,0.81
Kepler-253,3,15.532,15.512,5208,,0.79
Kepler-254,3,15.843,15.838,5957,,0.91
Kepler-255,3,15.596,15.528,5573,,0.93
Kepler-257,3,15.471,15.422,5180,,1.04
Kepler-267,3,15.438,15.469,4258,,0.56
Kepler-271,3,13.404,13.428,5555,0.9,0.87
Kepler-272,3,14.678,14.659,5297,,0.93
Kepler-275,3,15.319,15.287,6165,,1.38
Kepler-276,3,15.368,15.365,6105,,1.05
Kepler-279,3,13.659,13.585,6363,,1.75
Kepler-288,3,15.151,15.152,5918,,1.09
Kepler-289,3,13.956,13.963,5990,1.08,1
Kepler-295,3,14.447,14.433,5603,,0.9
Kepler-298,3,15.415,15.418,4465,,0.58
Kepler-30,3,15.403,15.376,5498,0.99,0.95
Kepler-301,3,14.271,14.274,5815,,0.9
Kepler-305,3,15.812,15.766,5100,,0.79
Kepler-31,3,15.237,15.224,6340,1.21,1.22
Kepler-310,3,14.279,14.265,5797,,0.88
Kepler-319,3,13.828,13.791,5526,,0.9
Kepler-325,3,15.009,15.005,5752,,1
Kepler-326,3,13.693,13.679,5105,,0.8
Kepler-327,3,15.018,14.98,3799,,0.49
Kepler-331,3,15.862,15.836,4347,,0.49
Kepler-332,3,14.017,14.003,4955,,0.72
Kepler-334,3,12.776,12.73,5828,,1.07
Kepler-336,3,13.598,13.584,5867,,1.3
Kepler-339,3,14.531,14.513,5631,,0.8
Kepler-350,3,13.781,13.761,6186,,1.53
Kepler-351,3,15.99,15.966,5643,,0.85
Kepler-354,3,15.549,15.556,4648,,0.67
Kepler-357,3,15.565,15.522,5036,,0.83
Kepler-359,3,15.886,15.881,6248,,1.09
Kepler-363,3,13.353,13.316,5593,,1.49
Kepler-372,3,14.881,14.834,6509,,1.14
Kepler-374,3,14.686,14.661,5977,,0.91
Kepler-398,3,13.256,13.235,4493,,0.61
Kepler-399,3,14.467,14.528,5502,,0.68
Kepler-401,3,13.312,13.287,6117,,1.33
Kepler-403,3,12.805,12.76,6090,,1.33
Kepler-42,3,16.124,14.993,3068,0.13,0.17
Kepler-431,3,11.973,11.929,6004,1.07,1.09
Kepler-445,3,17.475,16.716,3157,0.18,0.21
Kepler-446,3,16.257,16.31,3359,0.22,0.24
Kepler-450,3,11.684,11.653,,1.35,1.57
Kepler-46,3,15.262,15.255,5309,,0.79
Kepler-47,3,15.178,15.163,,0.96,0.94
Kepler-51,3,14.669,14.678,6018,1.04,0.94
Kepler-52,3,15.095,15.059,4263,,0.56
Kepler-53,3,15.386,15.388,5858,0.98,0.89
Kepler-54,3,15.847,15.813,4252,,0.55
Kepler-56,3,12.44,12.43,4840,1.32,4.23
Kepler-58,3,14.82,14.866,6099,,1.13
Kepler-60,3,13.959,13.913,5905,1.04,1.26
Kepler-603,3,14.854,14.816,5808,1.01,1.01
Kepler-68,3,9.99,9.934,5793,1.08,1.24
Kepler-770,3,14.604,14.597,5598,0.94,0.92
Kepler-81,3,15.019,15.004,4500,,0.59
Kepler-83,3,15.777,15.783,4648,,0.59
Kepler-9,3,13.803,13.781,5774,1.02,0.96
Kepler-92,3,11.565,11.745,5883,,1.53
L 98-59,3,11.685,10.598,3412,0.31,0.31
PSR B1257+12,3,,,,1.4,
TOI-125,3,10.892,10.718,5320,0.86,0.85
TOI-270,3,12.62,11.631,3386,0.4,0.38
Wolf 1061,3,10.03,8.794,3342,0.29,0.31
YZ Cet,3,12.074,,3056,0.13,0.17
ups And,3,4.1,3.898,,1.3,1.56
24 Sex,2,6.441,6.198,5098,1.54,4.9
7 CMa,2,3.92,3.578,4826,1.34,4.87
BD+20 2457,2,9.75,9.227,4259,10.83,71.02
BD-06 1339,2,9.7,9.107,4324,0.7,
BD-08 2823,2,9.88,9.503,4816,0.5,0.71
CoRoT-20,2,14.66,14.469,,1.14,
CoRoT-24,2,,15.18,4950,0.91,0.86
CoRoT-7,2,11.668,11.524,5275,0.82,0.83
K2-166,2,12.074,11.946,,1.07,
K2-50,2,14.717,14.258,,0.61,
K2-168,2,12.291,12.098,5502.7,0.88,0.83
EPIC 212737443,2,14.836,14.478,4684,0.69,0.67
K2-282,2,14.042,13.818,,0.94,
EPIC 220674823,2,12.102,11.954,5617,0.97,0.98
GJ 1132,2,13.49,12.138,3270,0.18,0.21
GJ 1148,2,11.92,10.577,3264,0.35,0.4
GJ 143,2,7.87,7.679,4640,0.73,0.69
GJ 15 A,2,8.08,7.216,3607,0.38,0.38
GJ 229,2,8.14,7.307,,0.58,
GJ 273,2,9.872,,3382,0.29,0.29
GJ 317,2,11.97,10.754,3510,0.42,
GJ 3323,2,12.22,10.647,3159,0.16,0.12
GJ 3998,2,10.83,9.983,3722,0.5,0.49
GJ 682,2,10.97,9.57,3028,0.27,
GJ 832,2,8.66,7.738,3472,0.45,
HAT-P-11,2,9.174,9.151,4780,0.81,0.68
HAT-P-13,2,10.622,10.417,5653,1.22,1.56
HAT-P-17,2,10.54,10.274,5246,0.99,0.87
HAT-P-44,2,,12.973,5295,0.94,0.95
HATS-59,2,13.951,13.785,5670,1.04,1.04
HD 102329,2,8.04,7.582,4745,3.21,9.82
HD 106315,2,8.951,8.888,6327,1.09,1.3
HD 108874,2,8.738,8.575,5600,1.1,1.05
HD 109271,2,8.055,7.878,5783,1.05,
HD 113538,2,9.057,8.443,4462,0.58,0.53
HD 114783,2,7.55,7.318,5135,0.85,
HD 11506,2,7.51,7.374,6030,1.24,1.34
HD 116029,2,8.04,7.609,4819,0.83,4.89
HD 11964,2,6.42,6.204,5349,1.12,
HD 12661,2,7.425,7.247,5645,1.2,1.2
HD 128311,2,7.51,7.167,,0.83,0.76
HD 133131 A,2,8.4,8.275,5799,0.95,
HD 134060,2,6.29,6.133,5966,1.09,
HD 134987,2,6.45,6.286,5736,1.1,1.22
HD 13908,2,7.508,7.385,6255,1.29,1.67
HD 142,2,5.7,5.565,6245,1.23,1.47
HD 1461,2,6.47,6.29,5765,1.02,
HD 147018,2,8.3,8.111,5441,0.93,
HD 147873,2,7.96,7.818,5972,1.38,2.29
HD 148164,2,8.23,8.091,6032,1.21,1.34
HD 15337,2,9.088,8.856,5125,0.9,0.86
HD 154857,2,7.238,7.048,5589,1.96,2.3
HD 155358,2,7.27,7.121,5905,1.15,1.38
HD 156279,2,8.1,7.866,5453,0.95,0.95
HD 159243,2,8.646,8.512,6123,1.12,1.12
HD 159868,2,7.24,7.046,5534,1.19,2.13
HD 1605,2,7.52,7.257,4915,1.33,3.49
HD 163607,2,8,7.813,5522,1.12,1.76
HD 164922,2,6.99,6.786,5372,0.76,0.97
HD 168443,2,6.917,6.732,5491,0.99,1.51
HD 169830,2,5.902,5.762,6299,1.4,
HD 176986,2,8.42,8.142,4931,0.79,0.78
HD 177830,2,7.177,6.887,4901,1.7,3.26
HD 183263,2,7.861,7.718,5948,1.31,1.23
HD 187123,2,7.832,7.673,5830,1,
HD 190360,2,5.73,5.534,5552,0.99,1.14
HD 192310,2,5.73,5.453,5166,0.8,
HD 20003,2,8.39,8.192,5494,0.88,
HD 200964,2,6.48,6.232,4982,1.39,4.92
HD 202696,2,8.23,7.959,5040,1.91,6.43
HD 204313,2,7.99,7.832,5783,1.03,1.1
HD 207832,2,8.78,8.612,5726,1.05,0.89
HD 213885,2,7.996,7.802,5978,1.07,1.1
HD 215497,2,8.96,8.686,5110,0.67,0.85
HD 21693,2,7.95,7.757,5430,0.8,
HD 217107,2,6.16,5.955,5622,1,1.11
GJ 143,2,7.87,7.679,4640,0.73,0.69
HD 219828,2,8.04,7.883,5807,1.18,1.61
HD 23472,2,9.724,9.385,,0.75,0.73
HD 30177,2,8.397,8.215,5607,1.05,1.02
HD 33142,2,7.96,7.713,4978,1.41,4.45
HD 33844,2,7.286,7.012,4861,1.84,5.39
HD 37605,2,8.67,8.462,5329,0.94,0.91
HD 38529,2,5.95,5.733,5541,1.41,2.56
HD 39091,2,5.67,5.491,6037,1.09,1.1
HD 4203,2,8.687,8.515,5596,1.25,1.42
HD 45184,2,6.37,6.205,5869,1.03,
HD 45364,2,8.062,7.88,5434,0.82,
HD 47186,2,7.626,7.449,5657,0.96,1.08
HD 4732,2,5.89,5.633,4959,1.74,5.4
HD 47366,2,6.11,5.826,4914,2.19,6.2
HD 50499,2,7.207,7.056,6102,1.25,1.35
HD 51608,2,8.17,7.961,5358,0.8,
HD 5319,2,8.05,7.772,4871,1.27,4.06
HD 60532,2,4.44,4.234,6245,1.5,2.57
HD 65216,2,7.964,7.794,5612,0.87,
HD 67087,2,8.05,7.922,6330,1.36,1.55
HD 73526,2,8.971,8.797,5601,1.14,1.53
HD 74156,2,7.614,7.469,6068,1.24,
HD 75784,2,7.84,7.56,4867,1.26,3.4
HD 82943,2,6.53,6.386,6016,1.2,
HD 92788,2,7.31,7.139,5744,1.15,1.14
HD 9446,2,8.369,8.209,5793,1,1
HD 95089,2,7.92,7.661,4918,1.54,5.08
HD 99706,2,7.65,7.377,4862,1.46,5.52
HIP 5158,2,10.167,9.802,4962,0.78,
HIP 54373,2,10.38,,4021,0.57,
HIP 65407,2,9.42,9.151,5460,0.93,
HIP 67851,2,6.17,5.882,4890,1.63,5.92
HU Aqr,2,,16.472,,0.88,
K2-117,2,14.655,13.801,3778,0.54,0.51
K2-141,2,11.389,10.722,4599,0.71,0.68
K2-146,2,16.248,14.983,3385,0.33,0.33
K2-154,2,14.033,13.317,4097,0.65,0.63
K2-158,2,11.774,11.613,5503,0.92,0.95
K2-166,2,12.074,11.946,,1.07,
K2-168,2,12.291,12.098,5502.7,0.88,0.83
K2-170,2,12.633,12.496,5748,0.96,0.98
K2-172,2,12.438,12.281,5569,0.93,0.87
K2-18,2,13.496,12.415,3457,0.36,0.41
K2-188,2,12.646,12.49,5977,1.06,1.19
K2-189,2,12.399,12.254,5519,0.94,0.87
K2-190,2,11.138,10.959,5631,0.9,0.91
K2-195,2,12.497,12.324,5713,0.94,0.99
K2-199,2,12.289,11.905,4648,0.73,0.68
K2-201,2,12.809,11.943,5507,0.96,0.88
K2-21,2,12.85,12.278,4222.06,0.68,0.65
K2-223,2,11.431,11.274,5835,1.06,0.99
K2-224,2,12.682,12.522,5620,0.91,0.84
K2-229,2,10.985,10.786,5315,0.87,0.79
K2-24,2,11.07,10.907,5625,1.07,1.16
K2-240,2,13.392,12.621,3810,0.58,0.54
K2-243,2,10.97,10.742,6570,1.29,1.39
K2-247,2,14.956,14.358,4667,0.74,0.69
K2-254,2,14.183,13.743,4629,0.71,0.67
K2-264,2,15.318,15.662,3660,0.5,0.47
K2-268,2,13.853,13.563,5068,0.84,0.78
K2-270,2,13.782,13.47,4877,0.85,0.77
K2-275,2,12.063,11.814,4812,0.79,0.73
K2-282,2,14.042,13.818,,0.94,
K2-290,2,11.114,10.82,6302,1.19,1.51
K2-35,2,14.35,13.915,4402.71,0.7,0.62
K2-36,2,11.8,11.527,4916,0.79,0.72
K2-38,2,11.39,11.184,5757,2.24,1.38
K2-43,2,15.596,14.821,3840.6,0.57,0.54
K2-5,2,14.91,14.339,3930,0.61,0.57
K2-50,2,14.717,14.258,,0.61,
K2-59,2,14.226,13.939,5055,0.77,0.73
K2-62,2,12.397,12.043,4880,0.77,0.73
K2-63,2,12.876,12.727,6771,1.4,1.63
K2-75,2,12.701,12.589,5995,1.16,1.56
K2-8,2,14.61,14.336,4870,0.78,0.74
K2-83,2,14.514,13.804,3910,0.48,0.42
K2-84,2,13.443,13.147,5652,0.95,0.93
K2-90,2,13.855,13.229,4484,0.63,0.62
KELT-6,2,10.418,10.193,6102,1.42,1.73
KIC 5437945,2,13.771,13.751,6340,1.07,1.24
KOI-7892,2,14.294,14.217,6474,1.04,1.26
KIC 9663113,2,13.955,13.907,6065,0.98,1.03
KOI-12,2,11.353,11.253,,1.5,1.4
KOI-142,2,13.11,13.105,5471,0.96,0.88
